,Democrats_12(Votes),Republicans_12(Votes),Democrats_16(Votes),Republicans_16(Votes),Fips
0,2630.0,3887.0,2364.0,3967.0,5043
1,2099.0,4263.0,1587.0,4917.0,5087
2,1845.0,4136.0,1544.0,4353.0,13159
3,12792.0,9411.0,12652.0,8153.0,8037
4,2442.0,5214.0,1836.0,5021.0,13091
5,25136.0,12777.0,28467.0,11295.0,6025
6,25431.0,13815.0,29514.0,12691.0,13059
7,987.0,3490.0,701.0,3755.0,8125
8,1519.0,3230.0,1173.0,3508.0,8099
9,12688.0,28280.0,12422.0,29983.0,13045
10,301723.0,47076.0,312443.0,34493.0,6075
11,2087.0,2635.0,1844.0,2569.0,13317
12,58922.0,60608.0,50336.0,70295.0,17119
13,28768.0,21280.0,22774.0,23384.0,19061
14,3020.0,4095.0,2066.0,4884.0,17005
15,5357.0,4424.0,4272.0,4936.0,19157
16,26192.0,19668.0,25085.0,19111.0,19169
17,4460.0,5035.0,2897.0,5764.0,19087
18,1559.0,1502.0,1143.0,1762.0,17155
19,1356.0,6668.0,1239.0,7273.0,13231
20,1852.0,3904.0,1260.0,4507.0,21033
21,62080.0,60795.0,69776.0,56890.0,21067
22,10625.0,18083.0,9841.0,20637.0,18005
23,750.0,1835.0,432.0,2094.0,21039
24,11357.0,17059.0,10064.0,17387.0,20103
25,1727.0,2069.0,1074.0,2523.0,17169
26,2909.0,7424.0,1967.0,8665.0,18047
27,11491.0,16655.0,9109.0,19197.0,26015
28,11389.0,6586.0,8460.0,8160.0,27017
29,1753.0,2359.0,1100.0,2925.0,27029
30,6750.0,6845.0,4580.0,8191.0,27115
31,2494.0,2517.0,1814.0,2768.0,27165
32,939.0,2895.0,637.0,3184.0,29057
33,3111.0,5049.0,2556.0,5088.0,28023
34,2675.0,2947.0,1775.0,2334.0,28097
35,9079.0,7629.0,7300.0,7371.0,28107
36,4933.0,7332.0,3804.0,7385.0,28137
37,6603.0,4941.0,5221.0,4568.0,28163
38,1720.0,3980.0,1211.0,4268.0,30089
39,3378.0,9278.0,2809.0,10711.0,37039
40,1165.0,3634.0,832.0,4372.0,21087
41,1346.0,3089.0,887.0,3570.0,21139
42,7611.0,10673.0,6434.0,13430.0,21179
43,5646.0,17590.0,4277.0,19740.0,21195
44,2683.0,10232.0,2067.0,11312.0,21235
45,1422.0,7082.0,1181.0,7406.0,22043
46,6802.0,11400.0,6259.0,11538.0,22119
47,142962.0,93752.0,127619.0,104775.0,25005
48,1591.0,2512.0,1551.0,2463.0,48371
49,761.0,3279.0,619.0,3919.0,48379
50,7856.0,12005.0,7825.0,13004.0,48409
51,3600.0,1416.0,3416.0,1541.0,48489
52,409.0,1698.0,426.0,1797.0,48501
53,2490.0,4331.0,2150.0,4704.0,51007
54,7982.0,13611.0,8076.0,15499.0,46083
55,319.0,1205.0,188.0,1333.0,46105
56,3760.0,6915.0,2915.0,7964.0,47055
57,4569.0,2960.0,3704.0,3010.0,47075
58,2517.0,7421.0,1796.0,8118.0,47077
59,1739.0,2383.0,1129.0,3229.0,47087
60,4609.0,12967.0,3507.0,14673.0,47107
61,25165.0,31844.0,24204.0,34619.0,51177
62,4295.0,3731.0,3723.0,4331.0,51193
63,15960.0,11914.0,11378.0,13269.0,53027
64,3570.0,3364.0,2531.0,4049.0,55011
65,4536.0,3314.0,3288.0,3977.0,55065
66,4447.0,4699.0,3283.0,5404.0,55129
67,875.0,1386.0,539.0,1820.0,47175
68,3043.0,14508.0,3633.0,15663.0,48259
69,1495.0,2733.0,1156.0,2968.0,48315
70,2636.0,5481.0,2042.0,6340.0,48331
71,538.0,1756.0,353.0,1780.0,48335
72,324.0,1479.0,231.0,1437.0,20141
73,189.0,1072.0,145.0,970.0,20129
74,7843.0,3007.0,6886.0,3081.0,37091
75,8095.0,8254.0,7564.0,9706.0,37099
76,13948.0,13980.0,11752.0,13354.0,37107
77,4706.0,6404.0,4108.0,7070.0,37123
78,4013.0,6236.0,3715.0,6738.0,37149
79,900.0,225.0,758.0,256.0,38085
80,1045.0,2738.0,690.0,3068.0,31023
81,274.0,1178.0,158.0,1216.0,31087
82,65600.0,46522.0,54472.0,47882.0,34001
83,190555.0,107310.0,164887.0,108981.0,34023
84,1383.0,2202.0,1016.0,2208.0,35037
85,1737.0,3810.0,1386.0,4521.0,32013
86,9894.0,5740.0,6517.0,7636.0,36033
87,122254.0,78831.0,102915.0,78277.0,36067
88,4619.0,7489.0,2870.0,8541.0,39065
89,10744.0,14651.0,6849.0,18240.0,39087
90,6211.0,13535.0,4323.0,15376.0,39135
91,2127.0,4381.0,1374.0,4753.0,40001
92,1034.0,2436.0,735.0,2920.0,40085
93,9198.0,16481.0,8785.0,16644.0,40119
94,3939.0,12908.0,3084.0,14166.0,40137
95,171792.0,110853.0,169169.0,106559.0,42045
96,896.0,1383.0,626.0,1680.0,42053
97,17513.0,21047.0,13933.0,25323.0,42073
98,82920.0,37390.0,64733.0,26378.0,6053
99,216.0,600.0,171.0,628.0,8057
100,48715.0,23368.0,34460.0,13178.0,6113
101,4914.0,5741.0,4310.0,5771.0,1099
102,4061.0,1251.0,3530.0,1139.0,1011
103,5286.0,13108.0,4408.0,13798.0,1045
104,9486.0,4235.0,10684.0,3650.0,4023
105,6031.0,11775.0,4645.0,14517.0,37111
106,53901.0,21539.0,59105.0,18373.0,37135
107,398.0,851.0,200.0,978.0,38075
108,2124.0,2813.0,1166.0,2991.0,38099
109,958.0,3278.0,572.0,3533.0,31027
110,5673.0,8995.0,4451.0,9736.0,31053
111,914.0,1890.0,544.0,2284.0,31093
112,552.0,927.0,338.0,1143.0,31163
113,44756.0,34524.0,40198.0,37674.0,33013
114,4961.0,2998.0,3721.0,3179.0,35006
115,4080.0,12548.0,3877.0,12306.0,35025
116,6829.0,12451.0,6033.0,11756.0,35035
117,23087.0,23820.0,20233.0,24343.0,36069
118,23515.0,19980.0,15614.0,25870.0,36075
119,14156.0,16758.0,8652.0,20729.0,39013
120,7044.0,11045.0,4488.0,12314.0,39021
121,1494.0,3572.0,1064.0,4202.0,40023
122,2639.0,3869.0,2202.0,4418.0,51113
123,1574.0,2160.0,1347.0,2213.0,51159
124,13183.0,20204.0,12989.0,18823.0,51199
125,919.0,1564.0,693.0,1432.0,51530
126,2544.0,5941.0,2367.0,5681.0,51570
127,8654.0,6565.0,10100.0,6232.0,51660
128,32501.0,12858.0,28462.0,12773.0,51740
129,12057.0,7405.0,9351.0,8752.0,50011
130,2531.0,1471.0,2094.0,1487.0,50013
131,645.0,1568.0,523.0,1491.0,53013
132,4573.0,5816.0,3260.0,6436.0,55067
133,9000.0,11022.0,6056.0,12742.0,55115
134,840.0,1595.0,537.0,1889.0,54021
135,2299.0,5523.0,1576.0,6646.0,54027
136,880.0,2176.0,750.0,2557.0,54093
137,11230.0,22183.0,8327.0,25168.0,54107
138,200.0,1022.0,115.0,1116.0,56027
139,,,,,2110
140,,,,,2170
141,2440.0,7635.0,1799.0,8642.0,40089
142,1396.0,3744.0,1095.0,4202.0,40095
143,1256.0,2335.0,943.0,2791.0,40107
144,1133.0,5945.0,871.0,6329.0,40153
145,371.0,639.0,221.0,632.0,41021
146,20378.0,28944.0,17456.0,32683.0,41043
147,1202.0,2532.0,1004.0,2698.0,41049
148,3973.0,7636.0,3221.0,8378.0,41061
149,13883.0,20901.0,10215.0,23912.0,42039
150,24232.0,25925.0,17631.0,30034.0,42085
151,12216.0,11800.0,9092.0,14998.0,23025
152,18115.0,13606.0,16042.0,14646.0,26103
153,2268.0,3044.0,1492.0,3609.0,27063
154,3593.0,4328.0,2327.0,5230.0,27065
155,4054.0,6657.0,2733.0,7062.0,27091
156,5829.0,6951.0,3709.0,8340.0,27095
157,3688.0,5931.0,2572.0,7058.0,29049
158,1194.0,3056.0,824.0,3540.0,29063
159,3636.0,6850.0,2360.0,8026.0,29069
160,46219.0,76900.0,42400.0,77387.0,29077
161,1906.0,4006.0,1265.0,4879.0,29117
162,4031.0,7923.0,2993.0,9418.0,29127
163,5479.0,15746.0,4367.0,18240.0,29213
